codigo;nome_cliente;telefones;loja;data_cadastro;data_aniversario;data_nascimento;ativo
79;PEDRO ROCHA CARVALHO;51990883479;12 - Bairro Alto Prime;14/12/2023;;;sim
80;ROBERTA ALVES PEREIRA;62961322887;11 - Cascata Distrito;24/05/2025;03/11;03/11/1962;nao
81;JESSICA DIAS SOUZA;11955321224;09 - Capital Distrito;24/09/2020;28/01;;sim
82;BEATRIZ DIAS ARAUJO;61970476368;09 - Capital Distrito;11/11/2025;13/08;13/08/1976;sim
83;FELIPE CARVALHO TEIXEIRA;62917799952;03 - Monte Azul Brands;10/02/2020;;;sim
84;CAMILA CASTRO FERREIRA;51914028235;08 - Riacho Outlet;06/03/2019;03/03;03/03/1959;nao
85;THIAGO NASCIMENTO BARBOSA;71978218487;11 - Cascata Distrito;19/03/2018;14/10;;sim
86;MARIA RODRIGUES LIMA;21948533541;02 - Vale Verde Brands;22/12/2023;;;sim
87;AMANDA SANTOS CARDOSO;51995330391;01 - Aurora Prime;18/08/2024;14/03;14/03/1965;sim
88;DANIELA CORREIA SILVA;81964042042;11 - Cascata Distrito;13/08/2024;;;sim
89;GABRIEL ARAUJO CASTRO;61971902103;12 - Bairro Alto Prime;12/03/2018;07/06;07/06/1991;sim
90;ANA TEIXEIRA CAMPOS;85947574399;01 - Aurora Prime;04/12/2023;16/06;16/06/1989;sim
91;ANA ROCHA ARAUJO;71935545938;07 - Serra Alta Porto;08/05/2026;;;nao
92;SOFIA BARBOSA CARDOSO;41980297928;14 - Baixada Outlet;15/06/2021;26/01;;nao
93;ISABELA ARAUJO CARVALHO;61997358432;13 - Rio Claro Distrito;21/01/2026;15/04;;sim
94;CAMILA CARVALHO ROCHA;47955484425;10 - Marina Brands;27/02/2026;;;sim
95;LUCAS SANTOS CASTRO;81972803862;14 - Baixada Outlet;11/01/2020;07/12;07/12/1991;sim
96;GABRIEL LIMA RIBEIRO;21911230864;11 - Cascata Distrito;17/06/2025;07/03;;sim
97;LETICIA RODRIGUES SILVA;85927269194;05 - Porto Sereno Praia;24/09/2024;12/06;;nao
98;VITORIA ALVES MARTINS;51976711791;07 - Serra Alta Porto;17/08/2024;07/06;;nao
99;ALINE PEREIRA CASTRO;21946975070;14 - Baixada Outlet;14/08/2021;;;sim
100;JOSE SOUZA BARBOSA;62919917320;06 - Campo Belo Centro;06/09/2022;12/09;12/09/1990;nao
101;MARCOS MARTINS SOUZA;21993646272;15 - Metrô Outlet;02/01/2025;;;sim
102;VINICIUS ROCHA CARDOSO;85962361410;02 - Vale Verde Brands;27/12/2020;05/02;;sim
103;DIEGO LIMA SILVA;62947287198;15 - Metrô Outlet;01/06/2018;11/09;;nao
104;PATRICIA MARTINS OLIVEIRA;41987451211;09 - Capital Distrito;14/12/2021;22/01;;sim
105;LUCAS CASTRO RODRIGUES;47910733778;04 - Porto Leste Aux;09/04/2025;12/01;12/01/1985;sim
106;MATEUS CAMPOS FERREIRA;11913195601;12 - Bairro Alto Prime;20/10/2026;27/07;;nao
107;CAROLINE NASCIMENTO CAMPOS;21988130525;08 - Riacho Outlet;03/06/2024;13/05;13/05/1995;nao
108;ALINE ROCHA ALMEIDA;21970012152;02 - Vale Verde Brands;24/12/2020;13/06;13/06/1956;nao
109;MARCOS CARVALHO TEIXEIRA;62924946962;14 - Baixada Outlet;04/01/2018;10/09;10/09/1997;sim
110;BEATRIZ ALVES FERREIRA;81927392187;15 - Metrô Outlet;07/12/2018;17/04;;sim
111;GUSTAVO SILVA SOUZA;61985347139;13 - Rio Claro Distrito;24/04/2024;11/07;11/07/1999;nao
112;VINICIUS RODRIGUES FERREIRA;41930411664;02 - Vale Verde Brands;02/01/2018;07/03;;sim
113;GUSTAVO CASTRO ALVES;71925867200;14 - Baixada Outlet;28/02/2021;;;sim
114;THIAGO LIMA CARVALHO;51948515203;10 - Marina Brands;26/05/2022;28/08;;sim
115;HELENA TEIXEIRA OLIVEIRA;11976299674;14 - Baixada Outlet;08/11/2021;05/03;;nao
116;ANA BARBOSA ALMEIDA;51985969287;09 - Capital Distrito;04/09/2026;14/11;14/11/1978;nao
117;CARLOS CORREIA CORREIA;85924850384;08 - Riacho Outlet;19/10/2025;28/10;28/10/1994;sim
118;JOAO MELO ALVES;51959893568;11 - Cascata Distrito;26/08/2019;14/10;14/10/1983;sim
119;CAROLINE DIAS CARDOSO;51955130606;14 - Baixada Outlet;03/11/2020;;;sim
120;RODRIGO SANTOS CASTRO;41919716979;15 - Metrô Outlet;20/05/2018;13/01;;sim
121;VITORIA NASCIMENTO ARAUJO;61918587650;03 - Monte Azul Brands;03/02/2023;;;sim
122;MARIA FERREIRA TEIXEIRA;61920031446;11 - Cascata Distrito;14/09/2019;;;sim
123;FELIPE CAMPOS TEIXEIRA;41996076646;13 - Rio Claro Distrito;20/04/2020;11/02;11/02/1969;sim
124;RODRIGO CARVALHO NASCIMENTO;48949477195 / 71997632612;04 - Porto Leste Aux;28/01/2022;11/08;11/08/1995;sim
125;PAULO RIBEIRO ROCHA;47977628388;06 - Campo Belo Centro;12/10/2020;04/02;04/02/1985;sim
126;PAULO ALMEIDA ALMEIDA;61988898447;15 - Metrô Outlet;24/12/2026;22/08;22/08/1978;nao
127;FELIPE CASTRO RODRIGUES;41955420428;13 - Rio Claro Distrito;21/07/2025;05/07;;sim
128;CARLOS RODRIGUES ALMEIDA;85956194754;02 - Vale Verde Brands;17/06/2018;27/04;27/04/1955;sim
129;MARCOS ARAUJO CAMPOS;81964093601;12 - Bairro Alto Prime;07/04/2024;;;sim
130;RODRIGO FERREIRA ALVES;47996905823;12 - Bairro Alto Prime;08/07/2023;14/03;;sim
131;AMANDA ALVES RIBEIRO;31923632628;09 - Capital Distrito;14/10/2018;;;sim
132;FELIPE CARDOSO OLIVEIRA;21965613877;01 - Aurora Prime;10/08/2022;28/02;;nao
133;RODRIGO CASTRO MARTINS;47955947244;05 - Porto Sereno Praia;07/04/2018;;;sim
134;MARIA DIAS SANTOS;47917131606 / 71948681837;05 - Porto Sereno Praia;14/12/2026;10/06;10/06/1976;nao
135;RAFAEL ARAUJO CASTRO;48930086077;05 - Porto Sereno Praia;06/07/2022;02/02;02/02/1990;nao
136;JULIA MARTINS RIBEIRO;81973835652;06 - Campo Belo Centro;28/07/2025;;;sim
137;RAFAEL DIAS RODRIGUES;31936012006;11 - Cascata Distrito;25/08/2018;;;sim
138;PAULO CORREIA NASCIMENTO;61930838609;02 - Vale Verde Brands;23/12/2023;01/02;;sim
139;GABRIEL GOMES DIAS;85933442866;04 - Porto Leste Aux;06/09/2023;14/12;;sim
140;MARIA ALVES CAMPOS;85985587838 / 71996504759;05 - Porto Sereno Praia;19/10/2026;28/04;28/04/1991;sim
141;CAROLINE CARDOSO CORREIA;48913662358;04 - Porto Leste Aux;27/12/2019;21/02;21/02/1977;sim
142;VINICIUS RIBEIRO FERREIRA;41981704255;12 - Bairro Alto Prime;24/12/2020;14/12;14/12/1969;sim
143;ISABELA SANTOS ROCHA;47953844308;08 - Riacho Outlet;09/04/2023;23/08;;sim
144;HELENA CAMPOS SANTOS;81983757685;11 - Cascata Distrito;25/09/2019;24/07;;sim
145;AMANDA SANTOS CASTRO;51924034116;09 - Capital Distrito;12/10/2018;09/08;;sim
146;CAMILA SANTOS TEIXEIRA;11976654337;06 - Campo Belo Centro;03/05/2025;18/05;;sim
147;PAULO SILVA CAMPOS;41955861403;06 - Campo Belo Centro;07/11/2018;08/06;;sim
148;PATRICIA OLIVEIRA CORREIA;62964149485;09 - Capital Distrito;01/07/2023;18/05;18/05/1973;sim
149;MARIA SANTOS LIMA;48920329530;01 - Aurora Prime;04/12/2019;27/05;;sim
150;LARISSA ARAUJO CASTRO;47990322269;11 - Cascata Distrito;10/09/2018;26/03;;sim
151;JULIA NASCIMENTO GOMES;81992826047;01 - Aurora Prime;02/10/2026;19/05;19/05/1975;nao
152;JOAO SILVA ALVES;41970933398;14 - Baixada Outlet;09/03/2025;;;sim
153;GABRIEL FERREIRA ARAUJO;71950633671;14 - Baixada Outlet;04/07/2019;;;sim
154;MARCOS CARDOSO GOMES;51916698512;15 - Metrô Outlet;06/01/2026;03/04;03/04/2004;sim
155;PEDRO FERREIRA OLIVEIRA;11959665261;02 - Vale Verde Brands;04/09/2019;28/10;;sim
156;DIEGO CASTRO NASCIMENTO;47958476671;05 - Porto Sereno Praia;28/02/2018;12/09;12/09/1989;sim
157;CAROLINE CASTRO RODRIGUES;85936111565;15 - Metrô Outlet;12/02/2026;;;sim
158;VINICIUS MELO MARTINS;31994167498;09 - Capital Distrito;15/12/2018;11/09;;sim
159;ROBERTA ROCHA RODRIGUES;61977617384;07 - Serra Alta Porto;10/11/2020;;;sim
160;FERNANDA TEIXEIRA RIBEIRO;11956124596;02 - Vale Verde Brands;23/09/2018;;;sim
161;RODRIGO ALMEIDA CARVALHO;21976349959;09 - Capital Distrito;11/04/2024;13/02;13/02/1958;sim
162;CAMILA OLIVEIRA OLIVEIRA;21927798404;11 - Cascata Distrito;02/05/2021;13/12;13/12/2007;sim
163;RODRIGO RODRIGUES SOUZA;11984843516;02 - Vale Verde Brands;20/11/2019;;;sim
164;ALINE NASCIMENTO ROCHA;85979135444;08 - Riacho Outlet;14/07/2022;05/11;05/11/1990;sim
165;PEDRO CAMPOS MELO;48967879603;09 - Capital Distrito;02/10/2024;27/08;27/08/1966;sim
166;ALINE ARAUJO ROCHA;51971156340;01 - Aurora Prime;10/01/2018;;;sim
167;BRUNA NASCIMENTO BARBOSA;41970717888;11 - Cascata Distrito;09/05/2020;20/09;;sim
168;RODRIGO TEIXEIRA PEREIRA;21942696479;01 - Aurora Prime;09/03/2024;12/03;;sim
169;AMANDA LIMA ALMEIDA;85973743738;05 - Porto Sereno Praia;26/08/2023;02/09;;nao
170;JOAO FERREIRA SILVA;81995494522;04 - Porto Leste Aux;10/01/2021;09/02;09/02/1971;sim
171;RAFAEL CARVALHO TEIXEIRA;85951661120;14 - Baixada Outlet;17/05/2025;22/12;22/12/1968;nao
172;GUSTAVO CORREIA ALVES;51954099271;09 - Capital Distrito;02/09/2020;08/12;;sim
173;BRUNA CAMPOS CASTRO;31936834288;04 - Porto Leste Aux;18/02/2019;24/08;;sim
174;VITORIA RODRIGUES TEIXEIRA;81950947210;12 - Bairro Alto Prime;19/11/2020;;;nao
175;DIEGO GOMES PEREIRA;81926852445;13 - Rio Claro Distrito;23/10/2021;10/03;10/03/1998;sim
176;ANA ARAUJO GOMES;61929046453;05 - Porto Sereno Praia;22/06/2023;07/03;;sim
177;ANA NASCIMENTO NASCIMENTO;11926599590;04 - Porto Leste Aux;05/04/2025;;;sim
178;ROBERTA OLIVEIRA RIBEIRO;31994213403;05 - Porto Sereno Praia;02/02/2023;16/08;;sim
179;ISABELA LIMA ARAUJO;62940430843;04 - Porto Leste Aux;20/10/2022;;;sim
180;MARCOS MELO RIBEIRO;11920305285;03 - Monte Azul Brands;08/11/2022;;;sim
181;JOSE ARAUJO MARTINS;41938080401;03 - Monte Azul Brands;05/10/2020;01/06;01/06/1985;sim
182;JESSICA ALMEIDA OLIVEIRA;51977367072;14 - Baixada Outlet;27/09/2026;19/09;;sim
183;JOAO ARAUJO OLIVEIRA;47993804187;08 - Riacho Outlet;04/04/2018;10/02;10/02/1958;sim
184;VITORIA FERREIRA ALVES;11940247044;13 - Rio Claro Distrito;08/10/2021;11/07;11/07/2001;sim
185;JULIA LIMA CAMPOS;61933067477;09 - Capital Distrito;12/09/2026;16/09;16/09/1975;sim
186;LETICIA SANTOS ALMEIDA;61999768726;09 - Capital Distrito;24/07/2022;;;sim
187;FERNANDA GOMES CORREIA;;61940072725;14/04/2021;;;nao
188;BRUNA ALMEIDA LIMA;11979735786;12 - Bairro Alto Prime;15/01/2023;11/08;;sim
189;RAFAEL SOUZA PEREIRA;21921077865;03 - Monte Azul Brands;02/12/2023;07/07;07/07/1964;sim
190;SOFIA CASTRO TEIXEIRA;61994033196;03 - Monte Azul Brands;05/08/2026;21/12;;sim
191;MARCOS TEIXEIRA ALMEIDA;21943834859;11 - Cascata Distrito;06/10/2021;17/10;17/10/1979;sim
192;SOFIA CARDOSO MARTINS;21978949208;10 - Marina Brands;06/09/2022;;;sim
193;MARIA TEIXEIRA SILVA;41941985069;02 - Vale Verde Brands;06/12/2024;07/09;07/09/1975;sim
194;CAROLINE MELO SILVA;61968061215;05 - Porto Sereno Praia;21/04/2025;17/11;;nao
195;JULIA ALVES CARDOSO;71979333846;02 - Vale Verde Brands;11/03/2020;06/04;;sim
196;AMANDA FERREIRA RODRIGUES;62989248675;11 - Cascata Distrito;25/07/2020;26/10;26/10/2007;nao
197;DANIELA RIBEIRO SANTOS;61940938502;07 - Serra Alta Porto;28/02/2022;02/09;;sim
198;LARISSA TEIXEIRA LIMA;47993630424;09 - Capital Distrito;10/12/2018;28/02;28/02/1998;nao
199;ISABELA SILVA GOMES;81972438016;10 - Marina Brands;03/04/2019;10/07;10/07/1990;sim
200;JULIA FERREIRA NASCIMENTO;31981313446;01 - Aurora Prime;11/02/2026;;;sim
201;LARISSA RIBEIRO PEREIRA;62920097212;13 - Rio Claro Distrito;14/05/2024;10/02;10/02/1986;sim
202;VINICIUS LIMA ALMEIDA;85999401702;13 - Rio Claro Distrito;12/10/2019;;;nao
203;FELIPE SOUZA TEIXEIRA;41967132634;09 - Capital Distrito;16/10/2021;;;sim
204;GUSTAVO MARTINS ALMEIDA;71996804174;08 - Riacho Outlet;14/07/2020;05/07;;nao
205;LETICIA LIMA CAMPOS;21916005312;04 - Porto Leste Aux;02/08/2025;;;sim
206;RAFAEL ROCHA BARBOSA;47934148615;10 - Marina Brands;24/01/2021;12/05;12/05/1979;nao
207;GUSTAVO CASTRO ALVES;11932915554;14 - Baixada Outlet;14/03/2021;;;sim
208;VINICIUS LIMA ALVES;41941821384;06 - Campo Belo Centro;13/07/2018;18/02;;nao
209;BEATRIZ RIBEIRO BARBOSA;71917558426;04 - Porto Leste Aux;15/05/2020;;;sim
210;ALINE GOMES RODRIGUES;31921765398;04 - Porto Leste Aux;27/04/2020;08/05;;sim
211;VINICIUS PEREIRA ALVES;62992386135;06 - Campo Belo Centro;28/12/2022;24/11;;sim
212;MATEUS FERREIRA CARDOSO;81965732542;06 - Campo Belo Centro;08/04/2019;12/12;12/12/1970;sim
213;JULIA MARTINS BARBOSA;85944519215;11 - Cascata Distrito;14/03/2018;18/09;;sim
214;CARLOS LIMA GOMES;48946395139;08 - Riacho Outlet;06/01/2021;10/04;10/04/1976;sim
215;DANIELA SOUZA SOUZA;31948867467;12 - Bairro Alto Prime;25/11/2023;25/06;;nao
216;ROBERTA CASTRO CARVALHO;48976148164;10 - Marina Brands;09/11/2024;;;sim
217;FELIPE CARVALHO MARTINS;11930177871;11 - Cascata Distrito;21/03/2024;;;nao
218;LORENA CORREIA CAMPOS;31972403811;10 - Marina Brands;20/05/2018;16/01;16/01/1961;sim
219;AMANDA LIMA OLIVEIRA;48979135690;12 - Bairro Alto Prime;22/08/2021;24/01;24/01/2001;sim
220;FELIPE DIAS MARTINS;31934572311;06 - Campo Belo Centro;17/01/2023;03/08;;nao
221;CARLOS CARVALHO SANTOS;21919795741;01 - Aurora Prime;03/03/2026;;;sim
222;GUSTAVO RODRIGUES NASCIMENTO;31970434480;12 - Bairro Alto Prime;28/07/2022;;;nao
223;BEATRIZ GOMES MARTINS;31993849954;03 - Monte Azul Brands;02/03/2019;;;sim
224;BEATRIZ ALVES LIMA;48995084496;07 - Serra Alta Porto;12/12/2019;08/11;;sim
225;MATEUS MARTINS SOUZA;48936400511;02 - Vale Verde Brands;04/06/2020;03/02;03/02/2000;sim
226;ANA CARVALHO MARTINS;81933437712;06 - Campo Belo Centro;22/07/2020;05/06;05/06/1998;sim
227;CAROLINE NASCIMENTO ROCHA;11913264862;09 - Capital Distrito;12/02/2019;10/03;10/03/1977;sim
228;ANA CAMPOS RODRIGUES;21980860781 / 31950085349;07 - Serra Alta Porto;11/02/2019;05/05;;sim
229;VITORIA GOMES NASCIMENTO;47910868573;04 - Porto Leste Aux;05/04/2023;27/05;;sim
230;JOSE PEREIRA DIAS;11969767582;14 - Baixada Outlet;05/04/2024;;;sim
231;DIEGO ALMEIDA RIBEIRO;11984159616;05 - Porto Sereno Praia;26/06/2018;;;sim
232;JESSICA CARDOSO ROCHA;48958154831;07 - Serra Alta Porto;18/01/2020;16/02;16/02/2007;sim
233;DIEGO SOUZA LIMA;61974061807;05 - Porto Sereno Praia;13/11/2021;12/03;;sim
234;SOFIA NASCIMENTO DIAS;61983569283 / 11973798415;08 - Riacho Outlet;22/01/2026;;;sim
235;JOAO MELO ARAUJO;51946339553;03 - Monte Azul Brands;13/11/2018;01/08;01/08/2004;sim
236;GUSTAVO GOMES ROCHA;48986629214;02 - Vale Verde Brands;09/07/2020;;;sim
237;ROBERTA ARAUJO ROCHA;48953889169 / 41922817120;05 - Porto Sereno Praia;21/07/2021;09/05;09/05/1958;sim
238;THIAGO MARTINS DIAS;21940952749;15 - Metrô Outlet;20/03/2021;02/07;02/07/1978;sim
239;FERNANDA TEIXEIRA CARVALHO;61960183822;04 - Porto Leste Aux;17/11/2020;;;sim
240;SOFIA ROCHA CORREIA;48919602741;05 - Porto Sereno Praia;06/09/2019;;;sim
241;BRUNA NASCIMENTO SILVA;62980223731;10 - Marina Brands;10/06/2019;28/12;;nao
242;THIAGO LIMA RIBEIRO;62994996296;15 - Metrô Outlet;08/02/2022;23/04;23/04/1978;sim
243;FERNANDA TEIXEIRA GOMES;61957268255;11 - Cascata Distrito;18/11/2026;21/09;21/09/1984;sim
244;BEATRIZ SANTOS ALMEIDA;21938505435 / 21951642984;14 - Baixada Outlet;17/06/2022;;;sim
245;PEDRO ALMEIDA ALMEIDA;85919234314;08 - Riacho Outlet;14/03/2023;03/07;;sim
246;PAULO ALMEIDA CAMPOS;62918765006;14 - Baixada Outlet;24/06/2020;;;sim
247;PEDRO SOUZA BARBOSA;11932225470;08 - Riacho Outlet;23/05/2025;26/02;;sim
248;ISABELA CORREIA BARBOSA;51991505366;02 - Vale Verde Brands;04/02/2024;03/02;03/02/1996;sim
249;ALINE SANTOS CASTRO;61960840215;06 - Campo Belo Centro;07/10/2019;;;sim
250;ROBERTA NASCIMENTO GOMES;85912631089;02 - Vale Verde Brands;10/06/2018;27/08;;sim
251;PEDRO RIBEIRO NASCIMENTO;48987846835;01 - Aurora Prime;24/06/2026;11/10;;sim
252;VITORIA ALMEIDA FERREIRA;47964932647;01 - Aurora Prime;17/06/2018;20/12;;sim
253;ALINE CAMPOS CORREIA;21939411438;05 - Porto Sereno Praia;13/12/2026;06/11;06/11/1979;nao
254;PEDRO OLIVEIRA ARAUJO;81932077557;07 - Serra Alta Porto;20/02/2023;07/03;07/03/1980;sim
255;CAROLINE BARBOSA TEIXEIRA;51938128777;04 - Porto Leste Aux;19/12/2026;15/10;;sim
256;CARLOS CARDOSO FERREIRA;62981036023 / 21960100043;14 - Baixada Outlet;27/08/2022;18/05;18/05/1962;sim
257;MATEUS SILVA FERREIRA;62973391139;01 - Aurora Prime;02/07/2020;22/02;22/02/1965;sim
258;MATEUS PEREIRA RODRIGUES;21922827676;11 - Cascata Distrito;09/10/2019;;;sim
259;VINICIUS GOMES ARAUJO;11973610272;08 - Riacho Outlet;12/10/2020;20/08;20/08/1985;nao
